# time_ps  msd_mean_A2  msd_SEM_A2  msd_STD_A2
350.000000 4.83921230e+03 5.11717729e+01 1.44735630e+02
351.000000 4.85289926e+03 5.13908259e+01 1.45355206e+02
352.000000 4.86656247e+03 5.15844126e+01 1.45902752e+02
353.000000 4.88016719e+03 5.17838824e+01 1.46466937e+02
354.000000 4.89395639e+03 5.19762577e+01 1.47011057e+02
355.000000 4.90765192e+03 5.22055707e+01 1.47659652e+02
356.000000 4.92133561e+03 5.24287605e+01 1.48290928e+02
357.000000 4.93500419e+03 5.26310705e+01 1.48863147e+02
358.000000 4.94869760e+03 5.28583028e+01 1.49505857e+02
359.000000 4.96238583e+03 5.30484037e+01 1.50043544e+02
360.000000 4.97604563e+03 5.32467454e+01 1.50604539e+02
361.000000 4.98963216e+03 5.34242223e+01 1.51106519e+02
362.000000 5.00332858e+03 5.36015957e+01 1.51608207e+02
363.000000 5.01694308e+03 5.37794005e+01 1.52111115e+02
364.000000 5.03058899e+03 5.39360974e+01 1.52554321e+02
365.000000 5.04420664e+03 5.40877776e+01 1.52983337e+02
366.000000 5.05783823e+03 5.42289466e+01 1.53382623e+02
367.000000 5.07141158e+03 5.43498321e+01 1.53724539e+02
368.000000 5.08498478e+03 5.44901442e+01 1.54121402e+02
369.000000 5.09855655e+03 5.46164531e+01 1.54478657e+02
370.000000 5.11213956e+03 5.47658963e+01 1.54901347e+02
371.000000 5.12571044e+03 5.49201945e+01 1.55337768e+02
372.000000 5.13923633e+03 5.50729147e+01 1.55769726e+02
373.000000 5.15278941e+03 5.51776368e+01 1.56065925e+02
374.000000 5.16627267e+03 5.52906208e+01 1.56385492e+02
375.000000 5.17980725e+03 5.54008162e+01 1.56697171e+02
376.000000 5.19337147e+03 5.55392417e+01 1.57088698e+02
377.000000 5.20684141e+03 5.56842367e+01 1.57498805e+02
378.000000 5.22036853e+03 5.58266871e+01 1.57901716e+02
379.000000 5.23390517e+03 5.59687833e+01 1.58303625e+02
380.000000 5.24746326e+03 5.60920309e+01 1.58652222e+02
381.000000 5.26098658e+03 5.62105222e+01 1.58987366e+02
382.000000 5.27453139e+03 5.63651530e+01 1.59424728e+02
383.000000 5.28807828e+03 5.65017533e+01 1.59811092e+02
384.000000 5.30163765e+03 5.66229050e+01 1.60153760e+02
385.000000 5.31518918e+03 5.67483306e+01 1.60508517e+02
386.000000 5.32875680e+03 5.68773990e+01 1.60873578e+02
387.000000 5.34237213e+03 5.69716338e+01 1.61140114e+02
388.000000 5.35594695e+03 5.70790229e+01 1.61443857e+02
